# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.8705421687583662,2.120974400000001,2.8161519999999998,-11.167709392195105,2.6116265062750985,3.0,-0.019161641671169707,0.0,-2.873116435113188,0.0
 0.8899822286344581,2.1713296384000014,2.806159872,-11.22356294772469,2.669946685903374,2.9999999999999942,-0.017801003981922466,0.0,-2.7286464732772115,0.0
 0.9093422264051298,2.2225732992000014,2.7959423359999995,-11.276389537364288,2.728026679215389,2.9999999999999885,-0.01655383214423226,0.0,-2.5926225630524726,0.0
 0.9286232650953777,2.2746948608000013,2.785502464,-11.326377993311713,2.7858697952861324,2.9999999999999827,-0.015408337166721148,0.0,-2.4643464143376272,0.0
 0.9478263364565153,2.3276838016000014,2.7748433279999998,-11.373701013364801,2.843479009369545,3.0,-0.014354168114889078,0.0,-2.3431885145081544,0.0
 0.966952333000911,2.3815296000000017,2.7639679999999993,-11.41851682879615,2.900856999002732,3.0,-0.013382211331920885,0.0,-2.2285801653773434,0.0
 0.9860020584873056,2.4362217344000014,2.7528795519999996,-11.460970669171013,2.9580061754619162,3.0000000000000115,-0.01248442082702843,0.0,-2.1200065632148855,0.0
 1.0049762370854793,2.491749683200002,2.7415810559999994,-11.501196052330755,3.0149287112564376,3.0000000000000058,-0.011653674856065718,0.0,-2.0170007704085706,0.0
 1.023875521411045,2.5481029248000016,2.7300755839999993,-11.539315923375591,3.0716265642331346,2.9999999999999885,-0.010883654098124406,0.0,-1.9191384521488735,0.0
 1.0427004995901503,2.605270937600002,2.7183662079999995,-11.575443662859975,3.12810149877045,2.9999999999999765,-0.010168737868445745,0.0,-1.826033268820996,0.0
 1.0614517014884335,2.663243200000002,2.7064559999999993,-11.609683981356618,3.184355104465299,2.999999999999988,-0.009503915343857009,0.0,-1.737332833409397,0.0
 1.0801296042176518,2.722009190400002,2.6943480319999993,-11.642133715027317,3.240388812652954,3.0,-0.008884709543187,0.0,-1.6527151576439492,0.0
 1.0987346370160576,2.781558387200002,2.6820453759999996,-11.672882534741705,3.296203911048172,3.000000000000024,-0.008307111850442896,0.0,-1.5718855192739831,0.0
 1.1172671855842204,2.841880268800002,2.6695511039999995,-11.702013579471243,3.3518015567526604,3.0,-0.007767525632529616,0.0,-1.4945736958842064,0.0
 1.1357275959459814,2.9029643136000027,2.6568682879999996,-11.729604023213158,3.4071827878379435,3.000000000000012,-0.007262717583918513,0.0,-1.4205315172534987,0.0
 1.1541161778941817,2.964800000000002,2.6439999999999997,-11.755725583428175,3.4623485336825444,2.999999999999988,-0.006789775209390435,0.0,-1.349530694116079,0.0
 1.17243320807237,3.0273768064000026,2.6309493119999994,-11.780444977878691,3.5172996242171095,3.000000000000012,-0.006346070221693099,0.0,-1.281360889867383,0.0
 1.190678932736566,3.0906842112000024,2.6177192959999993,-11.803824335870681,3.5720367982096977,3.0,-0.005929226468105661,0.0,-1.2158280033989903,0.0
 1.2088535702351564,3.1547116928000025,2.604313023999999,-11.825921569093092,3.6265607107054683,2.9999999999999876,-0.005537092179056368,0.0,-1.1527526377420312,0.0
 1.2269573132398712,3.2194487296000025,2.590733567999999,-11.846790706594781,3.6808719397196126,2.9999999999999876,-0.005167715086190584,0.0,-1.0919687318548432,0.0
 1.2449903307564645,3.284884800000002,2.576983999999999,-11.866482197863892,3.734970992269392,2.9999999999999876,-0.004819321311865453,0.0,-1.0333223356968957,0.0
 1.2629527699399912,3.351009382400003,2.5630673919999993,-11.885043187475826,3.7888583098199726,3.000000000000025,-0.00449029618882025,0.0,-0.9766705122781839,0.0
 1.2808447577364117,3.417811955200003,2.5489868159999993,-11.902517764362631,3.8425342732092345,3.0000000000000124,-0.004179168199059408,0.0,-0.9218803505374473,0.0
 1.298666402369523,3.485281996800003,2.5347453439999996,-11.91894718836416,3.895999207108568,2.9999999999999876,-0.0038845935269818297,0.0,-0.8688280784771774,0.0
 1.316417794689865,3.5534089856000026,2.5203460479999995,-11.934370096444136,3.949253384069594,3.0,-0.0036053434521238254,0.0,-0.817162134054979,0.0
